🚀 STARTING COMPREHENSIVE BACKTEST (Last 120 Days)...

📥 Fetching data for NIFTY50 (History needed for indicators)...
📊 Total Candles Fetched: 1302
🗓️ Data Range: 2025-09-05T09:15 to 2026-02-01T15:15
✅ [2025-10-06T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 47.1 | SL: 94.3 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2025-12-10T14:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 142.8 | SL: 285.6 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2025-12-12T09:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 160.0 | SL: 320.1 | Result: LOSS | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
❌ [2025-12-12T14:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 119.9 | SL: 239.9 | Result: LOSS | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2025-12-16T11:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 123.0 | SL: 246.0 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2025-12-16T14:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 118.4 | SL: 236.8 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2025-12-17T12:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 110.9 | SL: 221.7 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2025-12-18T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 120.8 | SL: 241.6 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2025-12-19T12:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 113.6 | SL: 227.2 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2025-12-22T13:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 100.8 | SL: 201.6 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
❌ [2025-12-24T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 99.4 | SL: 198.8 | Result: LOSS | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2025-12-26T10:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 78.0 | SL: 156.0 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2025-12-26T14:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 75.4 | SL: 150.9 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2025-12-29T11:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 84.4 | SL: 168.9 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2025-12-30T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 101.1 | SL: 202.2 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2025-12-31T09:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 132.0 | SL: 263.9 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-01T10:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 117.9 | SL: 235.7 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-01T15:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 82.5 | SL: 165.0 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-02T12:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 89.8 | SL: 179.5 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-05T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 117.8 | SL: 235.6 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-08T11:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 133.7 | SL: 267.5 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-08T14:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 142.4 | SL: 284.8 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-09T11:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 135.5 | SL: 271.0 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-09T15:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 123.9 | SL: 247.8 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-14T13:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 162.3 | SL: 324.5 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-16T10:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 160.1 | SL: 320.3 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-16T13:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 150.8 | SL: 301.5 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-20T13:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 128.8 | SL: 257.5 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2026-01-21T10:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 182.6 | SL: 365.2 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2026-01-21T14:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 243.8 | SL: 487.5 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-23T09:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 212.5 | SL: 425.0 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-23T13:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 194.9 | SL: 389.8 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
❌ [2026-01-27T10:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 229.3 | SL: 458.6 | Result: LOSS | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
✅ [2026-01-28T14:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 191.9 | SL: 383.8 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-01-29T12:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 163.1 | SL: 326.2 | Result: WIN | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
❌ [2026-01-30T09:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 169.5 | SL: 338.9 | Result: LOSS | Reason: BANKNIFTY: Golden Cross (20>50) + ADX>25 [High Acc]
✅ [2026-02-01T13:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 314.3 | SL: 628.5 | Result: WIN | Reason: BANKNIFTY: Death Cross (20<50) + ADX>25 [High Acc]
===========================================
🚀 120-DAY PERFORMANCE AUDIT: BANKNIFTY
===========================================
👀 Watchlist Opportunities: 0
🚀 Strong Signals (Tradeable): 95
✅ Wins: 56
❌ Losses: 34
🎯 REAL WIN RATE: 62.22%
💰 Total Points Captured: -1522.96 pts
===========================================
